n,Bubble,Insertion,Merge,Quick
1,8.00000000000000017e-08,8.00000000000000017e-08,1.19999999999999989e-07,9.99999999999999955e-08
5,2.32000000000000023e-06,1.60000000000000003e-07,1.57999999999999970e-06,1.99999999999999991e-07
10,6.19999999999999993e-07,3.20000000000000007e-07,2.89999999999999976e-06,4.59999999999999990e-07
25,3.89999999999999908e-06,1.28000000000000003e-06,1.20200000000000001e-05,1.83999999999999996e-06
50,1.06400000000000015e-05,3.52000000000000018e-06,2.24800000000000016e-05,3.26000000000000013e-06
100,3.27800000000000080e-05,1.41600000000000000e-05,3.02799999999999981e-05,6.95999999999999943e-06
300,3.06479999999999979e-04,9.78600000000000016e-05,1.02059999999999995e-04,2.58799999999999995e-05
500,7.94400000000000011e-04,2.83180000000000009e-04,1.72380000000000000e-04,4.52599999999999970e-05
1000,3.26299999999999984e-03,1.07812000000000012e-03,3.60259999999999996e-04,9.94800000000000165e-05
2000,1.27551000000000001e-02,4.72909999999999997e-03,6.74079999999999970e-04,2.03180000000000016e-04
