ArraySize,Algorithm,TimeSeconds
1,Bubble,5.99999999999999946e-08
1,Insertion,2.00000000000000004e-08
1,Merge,1.19999999999999989e-07
1,Quick,8.00000000000000017e-08
5,Bubble,2.20000000000000011e-07
5,Insertion,1.19999999999999989e-07
5,Merge,1.44000000000000019e-06
5,Quick,2.59999999999999999e-07
10,Bubble,6.19999999999999993e-07
10,Insertion,2.99999999999999986e-07
10,Merge,2.78000000000000006e-06
10,Quick,4.99999999999999977e-07
25,Bubble,2.97999999999999984e-06
25,Insertion,1.21999999999999975e-06
25,Merge,7.75999999999999855e-06
25,Quick,1.32000000000000007e-06
50,Bubble,1.05800000000000003e-05
50,Insertion,4.27999999999999968e-06
50,Merge,1.53799999999999984e-05
50,Quick,3.09999999999999997e-06
100,Bubble,3.76399999999999988e-05
100,Insertion,1.23999999999999982e-05
100,Merge,3.27799999999999945e-05
100,Quick,6.98000000000000009e-06
300,Bubble,3.21620000000000001e-04
300,Insertion,1.08319999999999993e-04
300,Merge,1.30500000000000028e-04
300,Quick,2.62599999999999993e-05
500,Bubble,8.56459999999999860e-04
500,Insertion,3.13579999999999989e-04
500,Merge,1.81759999999999994e-04
500,Quick,4.64999999999999986e-05
1000,Bubble,3.47422000000000009e-03
1000,Insertion,1.14891999999999989e-03
1000,Merge,3.76780000000000062e-04
1000,Quick,1.06000000000000002e-04
2000,Bubble,1.29712200000000003e-02
2000,Insertion,5.06885999999999969e-03
2000,Merge,7.03819999999999858e-04
2000,Quick,2.03360000000000005e-04
